index,SessionName,HSM3_Name,phi,n,k,kCorrected,tM,kRef,kTol,Date,FlowRate,Temperature,ColumnID,Column_Manufacturer,Column_Brand,Column_Phase,Column_ParticleSize,Column_PoreSize,Column_Length,Column_InnerDiameter,Column_SerialNumber
94,4_1_2,toluene,60,4,0.9229,0.910900358,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
95,4_1_2,toluene,60,5,0.916531,0.904614169,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
96,4_1_2,toluene,50,1,1.64382,1.622446882,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
97,4_1_2,toluene,50,2,1.63794,1.616643334,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
98,4_1_2,toluene,50,3,1.65007,1.628615619,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
99,4_1_2,toluene,50,4,1.64054,1.619209529,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
100,4_1_2,toluene,50,5,1.63587,1.614600249,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
101,4_1_2,toluene,40,1,3.15055,3.109586222,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
102,4_1_2,toluene,40,2,3.15407,3.113060455,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
103,4_1_2,toluene,40,3,3.13332,3.092580248,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
104,4_1_2,toluene,40,4,3.1349,3.094139705,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
105,4_1_2,toluene,40,5,3.13028,3.089579775,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
106,4_1_2,toluene,35,1,4.4319,4.374275976,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
107,4_1_2,toluene,35,2,4.40103,4.343807351,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
108,4_1_2,toluene,35,3,4.4144,4.357003513,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
109,4_1_2,toluene,35,4,4.42402,4.366498433,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
110,4_1_2,toluene,35,5,4.41242,4.355049257,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
111,4_1_2,toluene,30,1,6.29692,6.215046793,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
112,4_1_2,toluene,30,2,6.30641,6.224413403,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
113,4_1_2,toluene,30,3,6.27659,6.194981126,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
114,4_1_2,toluene,30,4,6.31944,6.237273985,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
115,4_1_2,toluene,30,5,6.27971,6.198060559,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
116,4_1_2,toluene,25,1,8.89441,8.778763958,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
117,4_1_2,toluene,25,2,8.91844,8.802481518,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
118,4_1_2,toluene,25,3,8.89029,8.774697527,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
119,4_1_2,toluene,25,4,8.95175,8.835358418,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
120,4_1_2,toluene,25,5,8.93033,8.814216923,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
121,4_1_2,toluene,20,1,12.4016,12.24035311,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
