index,SessionName,Compound,phi,n,k,kCorrected,tM,kRef,kTol,Date,FlowRate,Temperature,Column_Manufacturer,Column_Brand,Column_Phase,Column_ParticleSize,Column_PoreSize,Column_Length,Column_InnerDiameter,Column_SerialNumber
3631,13_1_2,benzonitrile,20,1,7.62155,9.25019018,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3632,13_1_2,benzonitrile,20,2,7.58649,9.207638249,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3633,13_1_2,benzonitrile,20,3,7.62783,9.257812146,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3634,13_1_2,benzonitrile,20,4,7.62465,9.253952616,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3635,13_1_2,benzonitrile,20,5,7.64694,9.28100574,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3636,13_1_2,benzonitrile,15,1,10.4401,12.67103286,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3637,13_1_2,benzonitrile,15,2,10.5172,12.76460827,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3638,13_1_2,benzonitrile,15,3,10.488,12.72916856,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3639,13_1_2,benzonitrile,15,4,10.4732,12.71120596,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3640,13_1_2,benzonitrile,15,5,10.4919,12.73390194,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3641,13_1_2,benzonitrile,10,1,14.536,17.64218098,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3642,13_1_2,benzonitrile,10,2,14.4802,17.57445714,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3643,13_1_2,benzonitrile,10,3,14.5424,17.64994859,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3644,13_1_2,benzonitrile,10,4,14.4483,17.53574047,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3645,13_1_2,benzonitrile,10,5,14.5306,17.63562706,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3646,13_1_2,5-phenylpentanol,60,1,1.14615,1.391069464,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3647,13_1_2,5-phenylpentanol,60,2,1.12425,1.364489679,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3648,13_1_2,5-phenylpentanol,60,3,1.12273,1.362644872,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3649,13_1_2,5-phenylpentanol,60,4,1.14031,1.383981521,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3650,13_1_2,5-phenylpentanol,60,5,1.12229,1.362110848,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3651,13_1_2,5-phenylpentanol,50,1,2.06435,2.505478557,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3652,13_1_2,5-phenylpentanol,50,2,2.05206,2.490562321,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3653,13_1_2,5-phenylpentanol,50,3,2.05561,2.494870917,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3654,13_1_2,5-phenylpentanol,50,4,2.05835,2.498196424,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3655,13_1_2,5-phenylpentanol,50,5,2.0577,2.497407527,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3656,13_1_2,5-phenylpentanol,40,1,4.44743,5.397796159,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3657,13_1_2,5-phenylpentanol,40,2,4.39724,5.336881116,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3658,13_1_2,5-phenylpentanol,40,3,4.40746,5.349285016,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3659,13_1_2,5-phenylpentanol,40,4,4.43647,5.384494129,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3660,13_1_2,5-phenylpentanol,40,5,4.39469,5.333786209,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3661,13_1_2,5-phenylpentanol,35,1,6.94159,8.424930316,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3662,13_1_2,5-phenylpentanol,35,2,6.9639,8.452007714,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3663,13_1_2,5-phenylpentanol,35,3,6.91298,8.390206679,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3664,13_1_2,5-phenylpentanol,35,4,6.9809,8.472640425,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3665,13_1_2,5-phenylpentanol,35,5,6.98165,8.473550691,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3666,13_1_2,5-phenylpentanol,30,1,11.7254,14.23098713,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
